provider,country,language,url
Osram Lightify,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311348&searchType=mainSearchBar
Tado,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311354&searchType=mainSearchBar
Devolo,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?queryFromSuggest=true&search=Devolo+Home
Fitbit,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=Fitbit+conrad+connect&searchType=mainSearchBar
Garmin,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=garmin+conrad+connect&searchType=mainSearchBar
Logitech Harmony,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=logitech+harmony+conrad+connect&searchType=mainSearchBar
Mobile Alerts,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=mobile+alerts+conrad+connect&searchType=mainSearchBar
Netatmo,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=netatmo+conrad+connect&searchType=mainSearchBar
Philips Hue,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=Philips+Hue+conrad+connect&searchType=mainSearchBar
Polar,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=polar+conrad+connect&searchType=mainSearchBar
Withings,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=Withings+conrad+connect&searchType=mainSearchBar
Osram Lightify,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=OSRAM+LIGHTIFY+conrad+connect&searchType=mainSearchBar
Tado,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=tado+conrad+connect&searchType=mainSearchBar
Devolo,Italy,it,http://www.conrad.it/ce/it/Search.html?search=devolo+home+control&searchType=mainSearchBar
Fitbit,Italy,it,http://www.conrad.it/ce/it/Search.html?search=fitbit+conrad+connect&searchType=mainSearchBar
Garmin,Italy,it,http://www.conrad.it/ce/it/Search.html?search=garmin+forerunner&searchType=mainSearchBar
Logitech Harmony,Italy,it,http://www.conrad.it/ce/it/Search.html?search=Logitech+Harmony&searchType=mainSearchBar
Mobile Alerts,Italy,it,http://www.conrad.it/ce/it/Search.html?search=Mobile+Alerts+conrad+connect&searchType=mainSearchBar
Netatmo,Italy,it,http://www.conrad.it/ce/it/Search.html?search=Netatmo&searchType=mainSearchBar
Philips Hue,Italy,it,http://www.conrad.it/ce/it/Search.html?queryFromSuggest=true&search=PHILIPS+HUE
Polar,Italy,it,http://www.conrad.it/ce/it/Search.html?search=polar+loop&searchType=mainSearchBar
Innogy,Italy,it,http://www.conrad.it/ce/it/Search.html?search=Innogy&searchType=mainSearchBar
Smappee,Italy,it,http://www.conrad.it/ce/it/Search.html?search=Smappee&searchType=mainSearchBar
Withings,Italy,it,http://www.conrad.it/ce/it/Search.html?search=withings&searchType=mainSearchBar
Osram Lightify,Italy,it,http://www.conrad.it/ce/it/Search.html?queryFromSuggest=true&search=osram+lightify
Tado,Italy,it,http://www.conrad.it/ce/it/overview/0812048/Controllo-riscaldamento-senza-fili-tado?queryFromSuggest=true
Philips Hue,Poland,pl,https://www.conrad.pl/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f17524%255f0604120%252fmi%257d%257bpi%252f615726%252fpi%257d%257bsf%252f%253cs1%253eHue%253c%252fs1%253e%252fsf%257d%257bmd5%252f024562b304ab5096000d9b3d874e3c4e%252fmd5%257d&search_input=Philips+Hue&dp2=ff_search
Osram,Poland,pl,https://www.conrad.pl/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f17524%255f0604120%252fmi%257d%257bpi%252f615726%252fpi%257d%257bsf%252f%253cs1%253ePhilips%2520Hue%253c%252fs1%253e%252fsf%257d%257bmd5%252f7bda3299693a0e5236ef5c88ffe1579b%252fmd5%257d&search_input=Osram+Lightify&dp2=ff_search
